_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68b70f95eff67c4fdc792931,,47.67,91.56,47.67,63.45,504;0;0;0,words,100,-1,0,126.88,0,0,false,false,english,,normal,false,false,false,,1756827541000
68aa9744895ff374fcdaef09,,48.1,88.55,48.1,57.98,509;0;0;0,words,100,-1,0,126.98,0,0,false,false,english,,normal,false,false,false,,1756010308000
68aa96af895ff374fcdaebd7,,48.75,88.67,49.22,62.57,522;1;0;0,words,100,-1,0,128.49,0,0,false,false,english,,normal,false,false,false,,1756010159000
68aa961f895ff374fcdae8c0,,46.29,87.62,46.29,61.11,530;0;0;0,words,100,-1,0,137.39,0,0,false,false,english,,normal,false,false,false,,1756010015000
68a74cac895ff374fcc31e3e,,48.56,88.83,48.56,63.28,515;0;0;0,words,100,-1,1,127.27,0,25.36,false,false,english,,normal,false,false,false,,1755794604000
68a74b49895ff374fcc30cd8,,54.29,90.65,54.29,63.48,539;0;0;0,words,100,-1,0,119.13,0,0,false,false,english,,normal,false,false,false,,1755794249000
68a74a9f895ff374fcc3049c,true,57.99,96.32,57.99,67.93,519;0;0;0,words,100,-1,0,107.39,0,0,false,false,english,,normal,false,false,false,,1755794079000
68a349929b82a8cb339235fb,true,53,94.7,53,67.9,514;0;0;0,words,100,-1,0,116.37,0,0,false,false,english,,normal,false,false,false,,1755531666000
68a17b919b82a8cb33856820,,47.51,88.81,47.51,61.52,488;0;0;0,words,100,-1,0,123.25,0,0,false,false,english,,normal,false,false,false,,1755413393000
68a17aed9b82a8cb3385640f,,46.73,87.73,46.73,55.95,522;0;0;0,words,100,-1,0,134.03,0,0,false,false,english,,normal,false,false,false,,1755413229000
6898c74e4e4c3bc72a7b04b6,,51.48,94.27,51.48,64.83,521;0;0;0,words,100,-1,0,121.45,0,0,false,false,english,,normal,false,false,false,,1754842958000
6898c6c14e4c3bc72a7aff60,,49.31,92.05,49.31,61.2,533;0;0;0,words,100,-1,0,129.71,0,0,false,false,english,,normal,false,false,false,,1754842817000
68959070b62381ed49aee9db,,48.09,90.46,48.09,64.84,523;0;0;0,words,100,-1,0,130.51,0,0,false,false,english,,normal,false,false,false,,1754632304000
6892d8eb20ac094ae84025ec,true,52.61,94.95,52.61,67.91,519;0;0;0,words,100,-1,0,118.38,0,0,false,false,english,,normal,false,false,false,,1754454251000
688a1cc1debff78a432bce88,,49.73,93.69,49.73,62.85,516;0;0;0,words,100,-1,0,124.52,0,0,false,false,english,,normal,false,false,false,,1753881793000
68803de3debff78a43d3c3aa,,46.07,91.89,46.34,62.47,513;0;0;1,words,100,-1,0,133.61,0,0,false,false,english,,normal,false,false,false,,1753234915000
687e47afdebff78a43c12aaf,,45.7,90.27,45.7,62.32,522;0;0;0,words,100,-1,0,137.06,0,0,false,false,english,,normal,false,false,false,,1753106351000
687c5e6199ed0a785a882af3,,44.8,88.8,44.8,63.61,530;0;0;0,words,100,-1,0,141.95,0,0,false,false,english,,normal,false,false,false,,1752981089000
687c5d4d99ed0a785a882457,,45.82,88.68,45.82,61.16,517;0;0;0,words,100,-1,1,135.41,1,68.07,false,false,english,,normal,false,false,false,,1752980813000
687c5c3a99ed0a785a881e2b,,46.32,91.36,46.32,56.98,506;0;0;0,words,100,-1,0,131.08,1,0,false,false,english,,normal,false,false,false,,1752980538000
6879019299ed0a785a6c71db,,49.51,93.61,49.51,66.81,533;0;0;0,words,100,-1,0,129.2,0,0,false,false,english,,normal,false,false,false,,1752760722000
687900dc99ed0a785a6c687c,true,51.55,94.27,51.55,67.16,522;0;0;0,words,100,-1,0,121.52,0,0,false,false,english,,normal,false,false,false,,1752760540000
6875c0917718545366fd7cdd,,46.94,92.04,46.94,63.44,505;0;0;0,words,100,-1,0,129.09,1,0,false,false,english,,normal,false,false,false,,1752547473000
6875bfdc7718545366fd77d3,,49.21,92.8,49.21,66.8,546;0;0;0,words,100,-1,0,133.14,0,0,false,false,english,,normal,false,false,false,,1752547292000
6875bf477718545366fd7395,,45.75,90.91,45.75,64.09,513;0;0;0,words,100,-1,0,134.54,0,0,false,false,english,,normal,false,false,false,,1752547143000
686f1f2c7718545366c51603,true,54.36,89.61,58.36,64.54,68;2;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1752112940000
686f1f0b7718545366c51540,true,46.4,87.34,61.6,72.73,58;4;1;1,time,15,-1,1,15,0,1.04,false,false,english,,normal,false,false,false,,1752112907000
686f1e617718545366c51123,,48.45,93.22,48.45,63.12,547;0;0;0,words,100,-1,0,135.47,1,0,false,false,english,,normal,false,false,false,,1752112737000
6868e66477185453669008ce,,46.58,89.8,46.58,62.25,539;0;0;0,words,100,-1,0,138.86,1,0,false,false,english,,normal,false,false,false,,1751705187000
685fe8f47bfbbdfc151a2996,,43.32,87.76,43.32,64.03,532;0;0;0,words,100,-1,0,147.36,0,0,false,false,english,,normal,false,false,false,,1751116020000
685fe8457bfbbdfc151a2439,,44.84,89.34,44.84,67.1,518;0;0;0,words,100,-1,1,138.64,0,17.58,false,false,english,,normal,false,false,false,,1751115845000
685dfb000af9eada7231a035,,43.2,89.33,43.2,63.08,507;0;0;0,words,100,-1,0,140.84,0,0,false,false,english,,normal,false,false,false,,1750989568000
683c8234cf421023cb05432d,true,38.71,87.87,38.71,55.38,5806;0;0;0,time,1800,-1,0,1800,44,0,false,false,english,,normal,false,false,false,,1748795956000
